平台,平台ID,C门店ID,最新评分,有订单
美团,14169806,C01229,0.0,False
美团,14214252,C09099,4.5,True
美团,14215451,C10066,4.5,True
美团,14224210,C09707,4.5,True
美团,14225507,C01055,0.0,True
美团,14245649,C14633,4.5,True
美团,14282682,C08948,4.6,True
美团,14283590,C07493,3.8,True
美团,14301976,C00682,4.5,True
美团,14309103,C10068,0.0,False
美团,14309192,C13371,4.6,True
美团,14481871,C13141,0.0,False
美团,14497572,C02276,4.3,True
美团,14513418,C14538,0.0,True
美团,14549584,C10135,0.0,False
美团,14634679,,0.0,False
美团,14657749,C10243,4.2,True
美团,14718701,C10177,4.6,True
美团,14718863,C09867,0.0,True
美团,14719308,C10182,4.8,True
美团,14722469,C08132,4.5,True
美团,14724712,C10183,4.4,True
美团,14737402,C08505,0.0,False
美团,14743219,C10169,0.0,False
美团,14765362,C10218,4.3,True
美团,1477574,C02889,4.4,True
美团,1485822,C01399,4.5,True
美团,14959356,C02536,0.0,False
美团,1501228,C01159,0.0,False
美团,15014348,C10316,4.6,True
美团,15017326,C00749,4.5,True
美团,15022640,C10172,4.8,True
美团,15027095,C10417,4.2,False
美团,15032706,C10229,4.8,True
美团,15044472,C10332,4.6,True
美团,15083763,C10270,0.0,False
美团,15104317,C10356,4.7,True
美团,15165753,C07646,4.6,True
美团,15165966,C00125,4.6,True
美团,15166005,C00011,4.5,True
美团,15166221,C10337,0.0,True
美团,15166269,C10320,0.0,True
美团,15166322,C10380,4.8,True
美团,15166398,C00016,4.5,True
美团,15212380,C10301,4.7,True
美团,15248460,C04450,4.3,True
美团,15262564,C10453,4.7,True
美团,15281570,C08796,4.6,True
美团,15376634,C10434,4.4,True
美团,15407456,C10442,4.1,True
美团,15410018,C10470,4.3,True
美团,15428794,C02652,4.8,True
美团,15442268,C10567,4.5,True
美团,15462308,C13225,4.7,True
美团,15601573,C10727,4.2,True
美团,15625570,C10769,0.0,False
美团,1566576,C02139,4.9,True
美团,15700996,C09208,4.6,True
美团,15701688,C10302,0.0,False
美团,15702373,C10726,4.3,True
美团,15765636,C00005,4.1,True
美团,15765859,C03173,4.3,True
美团,15803970,C10844,4.8,True
美团,15805116,C10583,4.6,True
美团,15809965,C10585,0.0,False
美团,15932094,C07072,4.5,True
美团,15932300,C00067,4.6,True
美团,15933128,C00010,4.6,True
美团,15933854,C00007,4.5,True
美团,15954961,C10887,0.0,True
美团,15955096,C00250,4.4,True
美团,15983740,C10822,4.3,True
美团,15985375,C00369,0.0,True
