平台,C门店ID,平台ID,最新评分,均值评分,最新店铺分,记录数
美团,,33768829,4.8,4.52,92.0,30
美团,,33815916,4.6,4.136666666666667,76.0,30
美团,,33815960,4.7,4.175,96.0,24
美团,,33913090,4.7,1.5333333333333334,96.0,21
美团,,34009025,4.9,4.31764705882353,97.0,17
美团,,3742813,0.0,0.0,40.0,20
美团,,4389520,0.0,0.0,40.0,25
美团,,6578009,0.0,0.0,39.0,25
美团,,7573845,0.0,0.0,36.0,25
美团,,8238146,0.0,0.0,39.0,25
美团,,9511530,0.0,0.0,39.0,1
美团,,9614040,0.0,0.0,39.0,25
