门店ID,门店名称,分公司,战区,省区,办事处,门店状态,门店类型,加盟&直营,门店分类,美团id,饿了么id,京东秒送id,微盟小程序id,口碑id,美团团购id,抖音id,快手id,高德平台id,TCODE,是否能做线上
C06071,西安市场延安二道街中鼓楼店,陕西公司,西安战区,陕西省区,陕西外阜办,正常营业,专卖店,加盟,街铺,7690707,2019431294,17210596.0,6013997223849,318806,641285179,6813916087634200589,,2026031311077000000115310390|xiniu_xgc_bgc,1,是
C06072,西安市场二道街万达店,陕西公司,西安战区,陕西省区,陕西外阜办,关店,专卖店,加盟,综合体,,,,,318804,1162834796,,,,1,是
C06073,直属北京健翔大厦店,陕西公司,北京战区,京津冀省区,北京办,关店,专卖店,直营,商超,cover_C06073_14244563,cover_C06073_1127560084,,cover_C06073_6015116866849,cover_C06073_316177,,cover_C06073_6951533544606795816,,,1,是
C06076,直属北京家乐福姚家园店,陕西公司,北京战区,京津冀省区,北京办,关店,专卖店,直营,商超,8834533,503346515,,6015116865849,316176,1082680205,7143799796086605835,,,1,是
C06078,直属家家乐购物广场店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,商超,,,,6013968528849,316324,1071610049,,,,1,是
C06080,萍乡芦溪凌云南路家家乐超市店,江西公司,宜春战区,江西二区,宜春办,关店,专卖店,加盟,商超,,,,,316076,,,,,1,是
C06081,萍乡芦溪金鹰路家家乐超市店,江西公司,宜春战区,江西二区,宜春办,关店,专卖店,加盟,商超,9798875,,,6015168026849,316077,,6835549335883761664,,,1,是
C06082,海口望海国际店,广东公司,海口战区,海南办,海南办,正常营业,专卖店,加盟,街铺,9009268,500701711,16130468.0,6014908061849,320095,1859499404,6839853190968625156,,2026031911077000000115418002|xiniu_xgc_bgc,1,是
C06085,河南郑州航海路丹尼斯店,陕西公司,郑州战区,河南省区,郑州办,关店,专卖店,加盟,综合体,8063038,500658209,,6013999427849,320804,1859313231,6862679700393789455,,,1,是
C06087,海口远大购物中心店,广东公司,海口战区,海南办,海南办,关店,专卖店,加盟,商超,8825286,337622853,,6014893270849,322788,1884410540,6869977644457396232,,2026031311077000000115334263|xiniu_xgc_bgc,1,是
C06088,广州萝岗奥园广场专卖店,广东公司,广州战区,广东省区,广佛办,关店,专卖店,加盟,街铺,,,,,,1075239149,,,,1,是
C06089,九江八里湖一中,江西公司,九江战区,江西二区,九江办,关店,专卖店,加盟,街铺,8659618,312336749,,,317900,946015887,,,,1,是
C06090,贵州毕节麻园路店,重庆公司,贵阳战区,云贵省区,遵义办,关店,专卖店,加盟,街铺,7942740,501125130,,6014906398849,318251,1847003635,6905499536311977984,6724909521551728055,,1,是
C06091,宝安西乡步行街专卖店,广东公司,深圳战区,广东省区,宝安办,关店,专卖店,加盟,街铺,502798287,502798287,,6015119463849,318271,,,,,1,是
C06095,杭州办事处,浙江公司,杭州战区,浙江省区,杭州办,关店,渠道店,加盟,特殊渠道,,,,,,,,,,1,是
C06096,衡阳南岳独秀店,江西公司,长沙战区,湖南省区,衡邵办,关店,专卖店,加盟,街铺,7863610,300751025,,,318627,702241961,,,,1,是
C06099,佛山火车站专卖店,广东公司,广州战区,广东省区,广佛办,关店,专柜店,加盟,高势能,,,,,,,,,,1,否
C06100,广州从化南方学院专卖店,广东公司,广州战区,广东省区,广佛办,关店,专卖店,加盟,特殊渠道,,,,6014224695849,320872,,,,,1,是
C06101,宝安上合优城专卖店,广东公司,深圳战区,广东省区,宝安办,关店,专卖店,加盟,街铺,,,,,,694996414,,,,1,是
C06102,肇庆高铁站店,广东公司,广州战区,广东省区,广佛办,正常营业,专卖店,加盟,高势能,,,,,,,,,,1,否
C06103,西安临汾曲沃兴隆街店,陕西公司,西安战区,山西办,山西办,关店,专卖店,加盟,街铺,5668786,,,,601068,1522376690,,,,1,是
C06105,西安城市运动公园店,陕西公司,西安战区,陕西省区,西安办,关店,专卖店,加盟,,,,,,,,,,,1,是
C06106,江苏南通机场,浙江公司,苏州战区,江苏省区,苏州办,正常营业,经销,加盟,高势能,,,,6013974205849,,,,,,1,是
C06107,哈尔滨悦荟广场店,陕西公司,沈阳战区,辽吉省区,哈尔滨办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C06108,海南文昌嘉年华专卖店,广东公司,海口战区,海南办,海南办,关店,专卖店,加盟,商超,7775534,500795455,,6014892978849,317497,1355890280,6723869681691756555,3002810369066509522,,1,是
C06110,天津人人乐店,陕西公司,北京战区,京津冀省区,天津办,关店,专卖店,加盟,,,,,,,,,,,1,是
